Other GHGs,GWP-100 Factors,Unit
"butane, perfluorocyclo-, pfc-318",10300,kg CO2 eq.
"ethane, 1,1,1-trifluoro-, hfc-143a",4470,kg CO2 eq.
"ethane, 1,1,1,2-tetrafluoro-, hfc-134a",1430,kg CO2 eq.
"ethane, hexafluoro-, hfc-116",12200,kg CO2 eq.
"ethane, pentafluoro-, hfc-125",3500,kg CO2 eq.
"methane, difluoro-, hfc-32",675,kg CO2 eq.
"methane, tetrafluoro-, r-14",7390,kg CO2 eq.
"methane, trifluoro-, hfc-23",14800,kg CO2 eq.
nitrogen fluoride,17200,kg CO2 eq.
"propane, 1,1,1,3,3,3-hexafluoro-, hcfc-236fa",9810,kg CO2 eq.
"propane, perfluoro-",8830,kg CO2 eq.
,22800,kg CO2 eq.
